carat,cut,color,depth,table,price,x,y,z
0.3,Good,F,61.1,61,682,4.29,4.32,2.63
0.72,Ideal,H,62,56,2443,5.8,5.74,3.58
1.71,Premium,J,62.9,58,8848,7.64,7.58,4.79
1.01,Premium,E,59.2,59,7287,6.67,6.6,3.93
0.52,Ideal,D,62.7,56,1720,5.17,5.14,3.23
0.25,Very Good,E,60.9,59,575,4.03,4.11,2.48
0.76,Premium,H,59.8,57,2227,5.93,5.91,3.54
1.2,Very Good,H,62,57,6177,6.77,6.81,4.21
0.42,Ideal,G,61.4,54,962,4.81,4.9,2.98
0.5,Very Good,G,61.9,59,1603,5.06,5.08,3.14
0.9,Premium,D,59,61,3205,6.32,6.28,3.72
0.3,Ideal,H,61.3,56,675,4.33,4.31,2.65
0.3,Very Good,G,61.8,59,684,4.22,4.26,2.62
0.5,Good,G,63.8,56,1715,5.03,5.06,3.22
2.28,Very Good,H,63.3,54,12907,8.36,8.29,5.27
0.31,Very Good,E,63.4,55,698,4.33,4.31,2.74
0.72,Very Good,D,62.3,59,2612,5.67,5.73,3.55
1.14,Very Good,F,61.3,62,6194,6.71,6.77,4.13
0.32,Premium,G,58.1,59,1080,4.53,4.49,2.62
0.4,Very Good,G,62.9,57,699,4.69,4.72,2.96
1,Good,H,60.2,63,5668,6.43,6.47,3.88
0.71,Very Good,H,63,58,2709,5.64,5.72,3.58
0.37,Ideal,E,62.7,54,833,4.6,4.55,2.87
0.32,Premium,H,61.8,56,591,4.43,4.4,2.73
1.13,Premium,H,62.6,60,4256,6.68,6.62,4.16
0.7,Premium,F,59.5,61,1662,5.78,5.68,3.41
0.57,Premium,F,60.4,58,1247,5.4,5.37,3.25
1.39,Premium,G,62,56,8874,7.18,7.14,4.44
1.07,Premium,E,59.3,56,7670,6.71,6.69,3.97
0.51,Ideal,E,62.4,55,1443,5.14,5.09,3.19
1.5,Very Good,F,63.8,59,16116,7.17,7.25,4.6
0.34,Ideal,I,62.3,55,459,4.42,4.47,2.77
0.32,Ideal,G,62,57,1080,4.42,4.38,2.73
0.41,Very Good,G,61.5,58,899,4.76,4.8,2.94
0.24,Ideal,F,61.8,55,678,4,4.03,2.48
0.34,Ideal,G,62.5,53,895,4.47,4.49,2.8
1.07,Premium,I,60.7,58,4491,6.62,6.66,4.03
1.2,Premium,E,60.4,58,5779,6.95,6.89,4.18
0.31,Ideal,G,61.3,56,891,4.38,4.4,2.69
0.31,Ideal,G,60.9,56,687,4.4,4.43,2.69
0.32,Good,H,63.1,55,505,4.33,4.36,2.74
0.4,Very Good,G,62.7,59,702,4.67,4.71,2.94
0.35,Ideal,J,62.1,53,540,4.53,4.55,2.82
0.32,Premium,F,61.7,58,645,4.38,4.41,2.71
1.44,Ideal,D,63,55,10725,7.23,7.18,4.54
0.32,Premium,I,61,59,554,4.39,4.36,2.67
1.01,Premium,G,60.9,59,6968,6.59,6.54,4
1.24,Very Good,J,62.4,59.4,5783,6.81,6.89,4.27
1.04,Premium,D,62.3,59,8341,6.48,6.39,4.01
0.5,Good,D,57.8,62,2065,5.23,5.28,3.04
2.07,Ideal,G,62,55,17095,8.23,8.13,5.07
0.52,Premium,H,61.6,57,1138,5.2,5.15,3.19
0.57,Premium,D,61.7,60,2047,5.32,5.28,3.27
0.33,Very Good,G,61.9,58,752,4.39,4.43,2.73
0.91,Ideal,E,60.8,56,3898,6.29,6.25,3.81
1,Very Good,F,60.5,60,5119,6.38,6.45,3.88
1.43,Ideal,H,62,55,11498,7.21,7.28,4.49
1.7,Ideal,I,60.1,57,12209,7.8,7.77,4.68
0.41,Ideal,G,61.9,55,1238,4.77,4.79,2.96
0.3,Ideal,F,62,55.1,499,4.29,4.32,2.67
0.61,Ideal,F,61.4,56,3248,5.44,5.49,3.36
0.71,Ideal,I,62.1,56,2327,5.72,5.68,3.54
0.7,Fair,G,65.3,61,2710,5.58,5.48,3.61
1.04,Premium,I,62,57,3774,6.53,6.47,4.03
1.02,Ideal,I,62.1,56,3713,6.44,6.39,3.98
1.01,Premium,G,60.1,58,3173,6.54,6.39,3.89
1.08,Premium,F,62.6,56,4488,6.61,6.55,4.12
0.3,Ideal,G,62.1,54,863,4.3,4.33,2.68
0.37,Premium,G,58.4,59,817,4.76,4.69,2.76
0.51,Premium,D,60,58,2203,5.19,5.14,3.1
0.53,Ideal,E,61.6,55.6,2019,5.19,5.24,3.22
1.02,Premium,E,62.1,52,6854,6.55,6.49,4.05
0.71,Very Good,E,59.8,58,3112,5.78,5.82,3.47
1.2,Very Good,G,61.5,58,4443,6.83,6.85,4.21
0.33,Premium,I,62.1,58,891,4.43,4.39,2.74
0.45,Ideal,D,60.6,55,1027,4.99,4.97,3.02
0.24,Good,F,65.1,58,492,3.86,3.88,2.52
0.52,Very Good,I,61.9,56,1289,5.16,5.18,3.2
0.9,Good,F,63.2,61,3950,6.09,6.13,3.86
1.01,Very Good,G,61.9,59,5759,6.34,6.38,3.94
0.56,Premium,E,62.6,58,1930,5.23,5.28,3.29
0.7,Good,F,63.8,58,2919,5.61,5.58,3.57
0.59,Ideal,D,61.6,57,1743,5.41,5.44,3.34
0.31,Ideal,F,62.4,55,828,4.33,4.36,2.71
0.58,Very Good,E,61.5,58,1424,5.31,5.36,3.28
0.7,Good,E,63.2,57,2496,5.61,5.63,3.55
1,Ideal,J,62.1,56,3528,6.41,6.34,3.96
0.7,Premium,E,62.2,58,2800,5.6,5.66,3.5
0.36,Ideal,G,61.5,56,985,4.59,4.62,2.83
1.21,Premium,F,62.2,60,9419,6.75,6.72,4.19
0.3,Ideal,D,61,55,710,4.33,4.36,2.65
1.71,Premium,I,60.2,58,11104,7.79,7.75,4.68
1.01,Very Good,F,59.7,61,4899,6.49,6.55,3.89
1.11,Ideal,I,61.9,57,4457,6.66,6.62,4.11
1.02,Premium,G,61.5,59,6416,6.44,6.41,3.95
1.64,Very Good,J,62.5,58,7409,7.48,7.56,4.7
0.3,Ideal,F,61.7,58,886,4.3,4.32,2.66
0.3,Ideal,D,62,55,710,4.31,4.34,2.68
0.7,Good,E,63.3,60,2569,5.56,5.59,3.53
1.13,Ideal,F,61.8,57,5232,6.71,6.68,4.14
1.37,Ideal,G,62.3,54,13439,7.11,7.15,4.43
1.25,Ideal,H,61.2,57,5810,6.93,6.89,4.23
0.31,Ideal,D,62,54,683,4.35,4.36,2.7
0.4,Very Good,F,62.2,55,786,4.68,4.74,2.93
0.4,Premium,E,60.1,58,1125,4.76,4.72,2.85
2.15,Premium,G,59.7,60,13317,8.4,8.37,5.01
0.32,Premium,J,61.9,58,540,4.39,4.33,2.7
0.23,Very Good,D,61.3,59,530,3.91,3.99,2.42
0.28,Very Good,E,63.2,56,669,4.17,4.21,2.65
1.5,Premium,I,61.2,61,8736,7.34,7.3,4.48
0.53,Ideal,H,61.7,56,1678,5.21,5.23,3.22
0.59,Premium,E,60.1,59,2578,5.46,5.42,3.27
1.01,Premium,D,61.6,58,10797,6.44,6.39,3.95
1.5,Ideal,H,62.4,57,9104,7.29,7.33,4.56
0.42,Ideal,I,61,54,807,4.84,4.87,2.96
0.71,Ideal,I,62,54,2319,5.72,5.75,3.55
0.78,Ideal,E,62,55,3334,5.89,5.95,3.67
0.35,Very Good,F,62.3,56,909,4.53,4.57,2.83
0.71,Ideal,D,62,54,2934,5.77,5.74,3.57
0.31,Ideal,H,61.4,55,609,4.37,4.39,2.69
2.02,Ideal,J,62.7,54.2,12884,8.03,8.08,5.05
1.2,Premium,J,60.7,60,4514,6.88,6.92,4.19
0.8,Good,F,63.3,55,3116,5.87,5.92,3.73
0.55,Ideal,G,60.4,56,1854,5.38,5.31,3.23
0.4,Very Good,D,59.6,58,851,4.8,4.83,2.87
0.43,Very Good,I,60.9,55,730,4.89,4.99,3.01
1.22,Premium,E,62.5,55,6121,6.9,6.82,4.29
0.41,Premium,G,61.3,57,1061,4.8,4.76,2.93
0.59,Ideal,D,62.3,55,1572,5.41,5.38,3.36
1.23,Premium,H,59.3,58,5979,7,6.94,4.13
1.07,Good,G,63.1,59,4861,6.45,6.49,4.08
1,Good,I,63.7,56,5018,6.34,6.32,4.03
1.47,Premium,F,59.4,59,8115,7.47,7.42,4.42
0.39,Ideal,G,61.7,54.2,952,4.69,4.75,2.91
0.3,Very Good,E,63.4,56,675,4.25,4.23,2.69
0.4,Ideal,F,60.6,55,842,4.78,4.82,2.91
0.9,Premium,D,62.4,61,4612,6.17,6.13,3.84
0.38,Ideal,F,60.6,56,827,4.73,4.7,2.86
0.7,Very Good,H,63,55,2048,5.59,5.64,3.54
1,Premium,G,61.8,59,4368,6.38,6.33,3.93
0.43,Premium,D,62.6,58,716,4.79,4.82,3.01
0.26,Very Good,F,59,59,453,4.19,4.25,2.49
0.72,Very Good,H,62.2,54,2877,5.74,5.76,3.57
0.42,Premium,G,60.2,59,1400,4.8,4.87,2.91
0.71,Ideal,I,61.3,57,2965,5.73,5.76,3.52
0.38,Very Good,I,62.7,58,500,4.57,4.61,2.88
0.7,Premium,H,61.7,58,1982,5.72,5.69,3.52
2.66,Good,H,63.8,57,16239,8.71,8.65,5.54
0.7,Premium,F,59.4,60,2239,5.77,5.74,3.42
1.51,Premium,F,61.6,58,14683,7.32,7.35,4.52
0.41,Ideal,F,60.8,57,1007,4.77,4.8,2.91
1.01,Premium,D,62.2,53,5656,6.47,6.43,4.01
0.39,Ideal,E,61,55,614,4.74,4.77,2.9
0.32,Ideal,F,61.7,56,720,4.44,4.41,2.73
0.41,Ideal,G,62.4,55,1068,4.74,4.78,2.97
1.23,Ideal,I,62.5,57,7256,6.81,6.86,4.27
0.34,Very Good,H,63.2,55,689,4.5,4.46,2.83
1.01,Premium,F,59.2,60,6533,6.54,6.51,3.86
1.03,Premium,G,58.2,59,4900,6.7,6.64,3.88
0.9,Ideal,H,62.1,56,4492,6.14,6.19,3.83
0.59,Ideal,E,62.2,55,1561,5.39,5.42,3.36
0.44,Very Good,F,62.8,60,648,4.82,4.86,3.04
0.71,Very Good,G,63.1,60,2240,5.6,5.69,3.56
2.01,Good,I,65,57,17497,7.85,7.99,5.15
0.38,Ideal,G,61.6,57,1140,4.73,4.65,2.89
0.51,Good,D,58,60,1831,5.26,5.29,3.06
0.32,Ideal,F,60.7,56,905,4.45,4.43,2.7
0.47,Ideal,D,61.9,54,2378,4.98,5,3.09
0.9,Premium,G,60.8,56,4137,6.19,6.14,3.75
0.5,Ideal,H,62.9,57,958,5.04,5.01,3.16
0.32,Very Good,F,62.7,60,926,4.32,4.35,2.72
0.7,Good,I,58.5,61,2276,5.76,5.82,3.39
0.37,Good,I,64,56,473,4.58,4.45,2.89
0.5,Premium,F,61.9,58,851,5.15,5.05,3.15
1.46,Premium,G,59.5,59,7931,7.34,7.29,4.35
0.55,Ideal,J,61,56,1101,5.31,5.34,3.25
0.59,Premium,G,62.5,53,1991,5.46,5.35,3.38
0.52,Premium,G,62.1,58,1577,5.18,5.15,3.21
1.21,Premium,F,61.5,57,4740,6.93,6.88,4.25
0.7,Ideal,I,62.7,57,2163,5.63,5.67,3.54
0.55,Ideal,G,62.2,54.3,2025,5.24,5.27,3.27
0.8,Very Good,F,61.6,56,3267,5.96,6,3.68
0.41,Premium,G,59.7,60,1148,4.85,4.83,2.89
0.4,Ideal,G,61.2,56,1043,4.77,4.8,2.93
0.52,Premium,F,62.5,58,1605,5.17,5.13,3.22
0.33,Premium,F,60.8,58,666,4.44,4.47,2.71
1.25,Premium,H,62,59,8099,6.88,6.84,4.25
2,Fair,E,59.9,61,15540,8.16,8.04,4.86
2.08,Ideal,H,58.7,60,18760,8.36,8.4,4.92
0.23,Good,F,61,57,442,3.97,4.01,2.44
0.51,Ideal,E,61.2,57,1284,5.14,5.16,3.15
0.31,Ideal,H,62.6,57,489,4.31,4.35,2.71
2.07,Ideal,H,63.5,53,18198,8.12,8.09,5.14
0.32,Ideal,D,61.4,57,814,4.4,4.43,2.71
1.01,Good,E,63.2,59,4619,6.25,6.28,3.96
1.21,Premium,H,61.5,58,6710,6.82,6.78,4.18
0.3,Premium,G,61,57,574,4.34,4.31,2.64
0.52,Ideal,F,62.1,54,1978,5.17,5.2,3.22
0.5,Premium,E,61.3,60,1746,5.11,5.07,3.12
0.5,Fair,F,65,55,1577,5.01,4.96,3.24
1.02,Very Good,H,60,63,4604,6.54,6.49,3.91
0.76,Very Good,H,61.6,58,2663,5.88,5.91,3.63
0.32,Premium,I,60.7,59,561,4.4,4.43,2.68
0.5,Ideal,F,62.2,54,2025,5.07,5.12,3.17
0.9,Very Good,G,63,57,3681,6.13,6.19,3.88
0.91,Very Good,G,60,57,3531,6.27,6.32,3.78
1,Ideal,G,62.6,55,7403,6.37,6.4,4
1.22,Premium,H,61.9,56,6354,6.89,6.84,4.25
0.81,Ideal,F,62.3,54,3053,5.94,5.98,3.72
1.01,Ideal,D,62.6,54,7602,6.46,6.42,4.03
1.01,Good,E,61.4,64,4285,6.29,6.42,3.9
0.29,Very Good,E,61.9,55,555,4.28,4.33,2.66
1.16,Ideal,D,62.1,57,8038,6.7,6.73,4.17
0.71,Very Good,F,62.8,57,2777,5.64,5.69,3.56
1.21,Premium,G,59.1,55,5184,7.04,6.98,4.14
1.08,Ideal,H,59.3,57,4455,6.71,6.74,3.99
1.24,Ideal,J,61.8,57,5000,6.92,6.86,4.26
1.01,Premium,E,61.5,58,4751,6.43,6.4,3.95
0.51,Ideal,F,61.6,55,1870,5.14,5.18,3.18
0.32,Ideal,J,62.2,55,533,4.4,4.44,2.75
0.34,Ideal,I,61.3,55,695,4.52,4.55,2.78
0.53,Very Good,F,60.5,55,1610,5.24,5.29,3.19
0.31,Ideal,E,61,57,924,4.33,4.36,2.65
1.09,Premium,H,59.6,61,4761,6.69,6.63,3.97
0.3,Ideal,D,62.4,54,814,4.3,4.32,2.69
0.49,Premium,G,60.6,60,1026,5.1,5.06,3.08
0.32,Ideal,I,62.1,57,605,4.42,4.37,2.73
0.31,Premium,E,61,59,1133,4.39,4.36,2.67
0.71,Premium,D,61.7,56,2863,5.8,5.68,3.54
1.01,Ideal,F,62,57,5184,6.38,6.42,3.97
1.01,Premium,H,62.4,58,4769,6.42,6.36,3.99
0.5,Ideal,G,62,54,1569,5.11,5.15,3.18
0.9,Very Good,I,62.3,64,3605,6.1,6.13,3.81
0.33,Ideal,F,62.4,56,832,4.41,4.43,2.76
1.53,Very Good,J,61.7,58,7730,7.43,7.47,4.6
0.41,Very Good,G,60.9,59,1197,4.8,4.85,2.94
0.56,Ideal,E,61.7,54,1915,5.35,5.28,3.28
0.35,Ideal,G,60.5,57,706,4.55,4.58,2.76
2.23,Premium,J,61.7,58,16025,8.41,8.34,5.17
1.5,Very Good,J,63.3,56,8391,7.18,7.29,4.58
0.64,Fair,F,57,62.5,2063,5.67,5.78,3.26
0.52,Ideal,F,60.6,56,2137,5.22,5.24,3.17
0.7,Premium,J,61.2,60,1940,5.73,5.7,3.5
0.9,Very Good,G,58.4,61,4276,6.33,6.38,3.71
0.53,Premium,H,62.5,60,1015,5.16,5.18,3.23
1.63,Very Good,G,62.5,58,11990,7.48,7.44,4.66
0.34,Ideal,G,61.5,55,974,4.51,4.53,2.78
0.23,Premium,G,61.3,59,531,3.96,3.94,2.42
0.73,Ideal,F,62.5,56,2455,5.73,5.75,3.59
1.01,Good,D,64.5,58,4606,6.18,6.26,4.01
0.42,Ideal,F,61,57,1031,4.84,4.87,2.96
0.91,Ideal,E,61.8,56,4160,6.19,6.27,3.85
1.17,Very Good,H,63.1,56,4652,6.76,6.71,4.25
0.33,Very Good,F,62,56,912,4.43,4.46,2.75
0.71,Ideal,I,62,58,2266,5.75,5.72,3.55
1.02,Premium,F,62.7,55,7677,6.43,6.37,4.01
0.39,Ideal,D,61.8,57,1232,4.67,4.71,2.9
0.33,Ideal,G,62.2,57,868,4.41,4.46,2.76
0.5,Ideal,I,61,57,1266,5.11,5.13,3.12
0.3,Good,H,63.7,55,776,4.27,4.24,2.71
0.25,Ideal,E,61.6,57,576,4.08,4.1,2.52
0.26,Ideal,F,61.6,57,599,4.08,4.1,2.52
0.31,Ideal,E,62.1,55,516,4.33,4.36,2.7
1.03,Ideal,F,59.1,55,6543,6.6,6.69,3.93
0.33,Very Good,G,62,59,666,4.36,4.42,2.72
1.26,Ideal,J,62,56,5301,6.9,6.93,4.29
1,Premium,E,61.6,59,5600,6.41,6.38,3.94
1,Premium,G,60.7,59,3427,6.45,6.41,3.9
0.94,Ideal,D,62.3,57,4575,6.24,6.29,3.9
0.33,Premium,E,61,60,723,4.42,4.47,2.71
2.02,Ideal,H,60.8,56,11715,8.21,8.14,4.97
1.2,Ideal,H,61.2,59,7072,6.84,6.89,4.2
1.01,Premium,D,61.7,59,5210,6.4,6.43,3.96
1.02,Ideal,F,62.1,56,4238,6.44,6.41,3.99
0.51,Ideal,D,61.5,57,1787,5.11,5.14,3.15
0.45,Good,G,64,57,1254,4.86,4.82,3.1
1.23,Premium,G,62.5,62,5039,6.87,6.78,4.27
1.01,Premium,D,59.2,56,6108,6.48,6.43,3.82
0.7,Very Good,F,59.5,58,2812,5.75,5.85,3.45
2.09,Ideal,G,62.5,57,11119,8.21,8.14,5.11
0.9,Ideal,F,61.6,56,5386,6.2,6.23,3.83
0.6,Ideal,G,62.1,57,1746,5.43,5.36,3.35
0.62,Ideal,G,61.6,56,2861,5.45,5.48,3.37
0.25,Very Good,F,59.4,57,575,4.1,4.12,2.44
0.59,Premium,E,62.5,56,2578,5.4,5.36,3.36
0.63,Very Good,H,61.1,57,1991,5.5,5.54,3.37
1.1,Very Good,G,61.9,56.7,7405,6.57,6.63,4.09
0.56,Ideal,F,61.9,56,2462,5.29,5.32,3.28
0.43,Premium,E,60.2,60,792,4.89,4.94,2.96
0.54,Ideal,F,60.5,57,1385,5.25,5.27,3.18
0.31,Good,H,63.7,56,612,4.3,4.33,2.75
0.34,Ideal,D,61.7,57,1133,4.49,4.52,2.78
2.06,Ideal,J,61.9,55,11234,8.19,8.23,5.08
1,Premium,E,59.9,59,6272,6.45,6.38,3.84
1,Premium,D,61.4,58,5880,6.43,6.37,3.93
0.32,Very Good,E,60.4,61,524,4.39,4.42,2.66
1.03,Ideal,D,62.5,55,5021,6.41,6.48,4.03
0.7,Very Good,F,60.5,60,3205,5.7,5.73,3.46
0.3,Premium,J,62.6,60,506,4.28,4.22,2.66
0.23,Good,E,56.9,65,327,4.05,4.07,2.31
0.31,Premium,E,60.5,60,872,4.36,4.34,2.63
1.07,Very Good,G,62.8,58,7168,6.48,6.52,4.08
2.04,Very Good,J,62.4,57,13825,8.04,8.19,5.06
0.71,Ideal,H,60.7,59,2328,5.75,5.81,3.51
2,Fair,H,65.9,58,12554,7.84,7.8,5.15
0.42,Ideal,F,61.6,55,1228,4.84,4.87,2.99
0.41,Very Good,E,60,61,1057,4.78,4.86,2.89
0.33,Ideal,I,62.4,56,463,4.39,4.43,2.75
1,Ideal,F,61.3,53,10577,6.44,6.48,3.96
1.03,Very Good,I,63.5,58,5884,6.38,6.4,4.06
0.38,Ideal,G,60.4,57,726,4.68,4.71,2.83
0.72,Very Good,I,62.8,56,2562,5.69,5.75,3.59
0.41,Premium,D,59.9,60,795,4.8,4.78,2.87
0.31,Premium,E,62.7,58,471,4.32,4.35,2.72
0.5,Ideal,G,61.4,57,1107,5.1,5.13,3.14
0.54,Ideal,D,61.3,56,1892,5.22,5.26,3.21
1.37,Ideal,I,61.5,55,7346,7.18,7.2,4.42
0.3,Very Good,G,59.3,59,491,4.38,4.42,2.61
0.51,Ideal,F,61.7,56,2197,5.11,5.13,3.16
2.58,Very Good,D,58.9,63,14749,9.08,9.01,5.33
1.16,Very Good,E,62.4,55,5034,6.69,6.77,4.2
0.73,Ideal,E,62.1,57,2155,5.75,5.71,3.56
0.25,Very Good,D,62.8,56,548,4,4.03,2.52
1,Premium,E,62.3,58,3136,6.38,6.33,3.96
0.9,Ideal,J,62.6,55,3048,6.13,6.11,3.83
0.77,Ideal,F,62,56,2107,5.92,5.86,3.65
0.32,Good,D,63.6,56,589,4.34,4.37,2.77
2.26,Premium,I,62,58,16241,8.4,8.37,5.2
0.42,Very Good,H,62.1,59,700,4.78,4.81,2.98
1.51,Very Good,I,60.4,58,9178,7.36,7.42,4.46
0.52,Very Good,E,59.6,58,1767,5.21,5.26,3.12
0.71,Ideal,F,61.6,54,4167,5.76,5.79,3.56
1.59,Premium,F,60.2,60,15461,7.59,7.62,4.58
0.32,Premium,G,62.6,59,720,4.36,4.33,2.72
0.5,Very Good,I,62.2,60,1048,5.02,5.05,3.13
0.7,Very Good,G,63.3,59,2905,5.59,5.62,3.55
0.77,Premium,I,60.4,58,2089,5.96,5.99,3.61
1,Good,D,57.8,58,4218,6.55,6.61,3.8
0.31,Ideal,E,60.1,57,601,4.36,4.39,2.63
1.27,Ideal,F,61.6,55,11973,6.97,7.03,4.31
1.5,Fair,J,64.5,59,5846,7.2,7.07,4.6
0.3,Ideal,I,62.4,56,709,4.32,4.3,2.69
0.57,Ideal,F,62.2,56,1751,5.33,5.31,3.31
0.37,Ideal,F,61.7,55,759,4.61,4.73,2.88
0.9,Fair,E,64.5,57,3342,6.13,6.09,3.94
1,Ideal,F,62.8,57,6209,6.35,6.3,3.97
1.11,Ideal,G,62.2,55,6713,6.67,6.61,4.13
0.34,Very Good,H,63.1,56,689,4.46,4.41,2.8
0.38,Ideal,E,62.2,56,1176,4.65,4.58,2.87
0.43,Ideal,E,61.2,56,981,4.89,4.94,3.01
1.5,Premium,I,62.3,58,6888,7.33,7.22,4.53
0.51,Ideal,F,62.2,55,1998,5.12,5.11,3.18
0.9,Very Good,G,62.4,58,4297,6.14,6.16,3.84
1.02,Ideal,H,61,58,4360,6.5,6.54,3.98
0.37,Ideal,J,62.2,53,451,4.63,4.67,2.89
0.3,Good,J,63.4,57,394,4.23,4.26,2.69
0.88,Very Good,H,63.2,57,3472,6.08,6.15,3.87
0.32,Ideal,G,61.3,56,905,4.4,4.44,2.71
0.25,Very Good,E,63.1,55,526,3.98,4.04,2.53
0.38,Ideal,I,61.9,54,593,4.64,4.67,2.88
1.04,Premium,E,62.4,57,4892,6.51,6.43,4.04
0.53,Ideal,H,61.1,55,1245,5.24,5.28,3.21
0.55,Ideal,F,61.2,56,2079,5.33,5.28,3.25
0.71,Premium,D,61,61,2863,5.82,5.75,3.53
0.7,Ideal,E,62.1,56,3472,5.7,5.66,3.53
0.37,Ideal,F,62.4,54,791,4.63,4.6,2.88
1.01,Ideal,E,60,55,9479,6.6,6.56,3.95
0.56,Ideal,E,62.8,57,1699,5.21,5.23,3.28
0.71,Very Good,F,63.3,56,2036,5.68,5.73,3.61
0.31,Good,H,63.1,57,489,4.28,4.31,2.71
1.11,Ideal,G,61.6,56,7917,6.64,6.67,4.1
0.7,Ideal,H,61.9,56,2710,5.7,5.73,3.54
1.44,Very Good,E,61.1,62,5068,7.15,7.23,4.39
0.32,Ideal,E,61.3,57,890,4.42,4.45,2.72
0.5,Fair,E,59.8,66,1114,5.18,5.09,3.07
0.73,Ideal,E,62.3,56,3311,5.8,5.75,3.6
0.71,Ideal,D,61.2,53,2531,5.8,5.76,3.54
0.56,Ideal,E,61.9,55,1819,5.29,5.34,3.29
0.56,Ideal,G,63,55,1287,5.26,5.22,3.3
1.12,Premium,I,60.6,60,4390,6.77,6.73,4.09
0.91,Ideal,H,60.3,57,3363,6.31,6.27,3.79
0.35,Fair,F,54.6,59,1011,4.85,4.79,2.63
0.34,Ideal,E,62.5,55,745,4.46,4.5,2.8
0.55,Ideal,E,61.4,55,1551,5.26,5.29,3.24
0.32,Ideal,G,61.8,55,559,4.42,4.45,2.74
0.33,Ideal,G,61.6,53,1052,4.47,4.43,2.74
1.2,Very Good,H,61.6,61,6350,6.81,6.77,4.18
